1	tt0799142:-	tt1011513:-	tt1299014:-	tt1299015:-	tt1299017:-	tt1299020:-	tt1299021:-	tt1299030:-	tt1299035:-	tt1299036:-	tt1299038:-	tt1299041:-	tt1299585:-	tt4156224:-	
9	tt1555555:-	tt1555556:-	tt1555557:-	tt1555559:-	tt1766620:-	tt1766621:-	tt1766622:-	tt1766623:-	
11	tt1555560:-	tt1577341:-	tt1673100:-	tt1721291:-	tt1763598:-	tt1782093:-	tt1910958:-	tt1923210:-	
12	tt1597554:-	tt1758190:-	tt1758191:-	tt1759156:-	tt1759157:-	tt1902528:-	tt1902529:-	tt1902530:-	tt1910957:-	tt1923211:-	tt1929662:-	tt1952358:-	
15	tt1622256:-	tt1637272:-	tt1762714:-	tt1762716:-	tt1763596:-	tt1763597:-	tt1763604:-	tt1765112:-	tt1765114:-	tt1766618:-	tt1902527:-	tt1902542:-	tt1902543:-	
16	tt1626691:-	tt1626692:-	tt1626693:-	tt1758193:-	tt1759158:-	tt1759159:-	tt1759161:-	tt1759163:-	tt1759164:-	tt2833952:-	tt2833956:-	tt2833964:-	tt2833968:-	
13	tt1644763:-	tt1721292:-	tt1750075:-	tt1755383:-	tt1759160:-	tt1761549:-	tt1767752:-	tt1769860:-	tt1902531:-	tt1902532:-	tt1910035:-	tt1910036:-	tt1962811:-	
14	tt1644764:-	tt1758192:-	tt1761550:-	tt1769861:-	tt1931971:-	tt1936413:-	tt1939086:-	
18	tt1721293:-	tt1750079:-	tt1763603:-	tt1766619:-	tt1902534:-	tt1902541:-	tt1919890:-	tt2011520:-	tt2016507:-	
17	tt1729877:-	tt1750076:-	tt1750077:-	tt1750078:-	tt1761551:-	tt1761552:-	tt1763602:-	tt1765113:-	tt1767747:-	tt1769862:-	tt1902533:-	tt1905625:-	tt1908811:-	
19	tt1747102:-	tt1750081:-	tt1761553:-	tt1767748:-	tt1815069:-	tt1902535:-	tt1902536:-	tt1902544:-	tt1919891:-	tt2387987:-	tt2724228:-	tt2725606:-	tt2725704:-	
20	tt1747103:-	tt1750080:-	tt1750082:-	tt1755384:-	tt1771350:-	tt1902537:-	tt1902538:-	tt1921753:-	tt1946951:-	tt2248390:-	tt2248392:-	tt2387983:-	tt2828562:-	
21	tt1846834:-	tt1846837:-	tt1846838:-	tt1846839:-	tt1846840:-	tt1846841:-	tt2264262:-	tt2387989:-	tt2387991:-	tt2828572:-	tt2828574:-	tt2828578:-	tt2828584:-	
23	tt1846835:-	tt1846836:-	tt1882626:-	tt1888988:-	tt1902539:-	tt1902540:-	tt1917756:-	tt1932976:-	tt1944368:-	tt1946952:-	tt1949737:-	tt1976795:-	tt2379095:-	
22	tt1870046:-	tt1876911:-	tt1910037:-	tt1913578:-	tt1919892:-	tt1925852:-	tt1928666:-	tt1955715:-	tt1955716:-	tt1958733:-	tt1992775:-	tt2132821:-	tt2828590:-	
25	tt1897375:-	tt1957188:-	tt1958734:-	tt1974707:-	tt1977394:-	tt1981866:-	tt1989864:-	tt2008167:-	tt2040875:-	tt2045387:-	tt2068011:-	tt2112537:-	tt2847672:-	
24	tt1943274:-	tt1950664:-	tt1952359:-	tt1962812:-	tt1965779:-	tt1978862:-	tt1979771:-	tt1984600:-	tt1985451:-	tt1987842:-	tt1997784:-	tt2828594:-	tt2847668:-	
27	tt1960325:-	tt1993962:-	tt2005684:-	tt2015675:-	tt2016508:-	tt2037281:-	tt2037282:-	tt2049978:-	tt2071059:-	tt2071799:-	tt2075697:-	tt2082714:-	tt2086248:-	
26	tt1969607:-	tt1990583:-	tt2008168:-	tt2010062:-	tt2024000:-	tt2029470:-	tt2033663:-	tt2034341:-	tt2037283:-	tt2041958:-	tt2063274:-	tt2090124:-	tt2103536:-	
29	tt2039806:-	tt2059740:-	tt2090127:-	tt2091594:-	tt2097525:-	tt2099995:-	tt2105438:-	tt2119116:-	tt2121492:-	tt2125903:-	tt2833490:-	tt2833498:-	tt2833506:-	
28	tt2055096:-	tt2090123:-	tt2090125:-	tt2090126:-	tt2092148:-	tt2094411:-	tt2099185:-	tt2108766:-	tt2111746:-	tt2113326:-	tt2120962:-	tt2298807:-	tt2828606:-	
30	tt2083541:-	tt2090128:-	tt2093574:-	tt2102768:-	tt2105441:-	tt2111745:-	tt2114781:-	tt2118244:-	tt2122667:-	tt2123525:-	tt2126814:-	tt2833516:-	tt2833524:-	
33	tt2125165:-	tt2225081:-	tt2230081:-	tt2250211:-	tt2252669:-	tt2254713:-	tt2257357:-	tt2259635:-	tt2272239:-	tt2276507:-	tt2754232:-	tt2833554:-	tt2833558:-	
31	tt2129305:-	tt2130734:-	tt2133638:-	tt2135328:-	tt2146509:-	tt2148165:-	tt2155831:-	tt2162125:-	tt2173309:-	tt2265941:-	tt2833526:-	tt2833540:-	tt2833542:-	
50	tt2166975:-	tt2656268:-	tt2664486:-	tt2670062:-	tt2698796:-	tt2706998:-	tt2721008:-	tt2727538:-	tt2735960:-	tt2745462:-	tt2772142:-	tt2778124:-	tt2833942:-	
39	tt2167776:-	tt2174448:-	tt2180902:-	tt2183476:-	tt2185422:-	tt2188466:-	tt2193042:-	tt2196922:-	tt2225410:-	tt2249890:-	tt2805448:-	tt2833570:-	tt2833816:-	
38	tt2168058:-	tt2169788:-	tt2171330:-	tt2178654:-	tt2193398:-	tt2195208:-	tt2227220:-	tt2236792:-	tt2400691:-	tt2401899:-	tt2402339:-	tt2402805:-	tt2404079:-	
32	tt2195083:-	tt2203001:-	tt2204727:-	tt2204729:-	tt2208621:-	tt2212393:-	tt2212395:-	tt2216753:-	tt2219705:-	tt2222438:-	tt2259639:-	tt2288867:-	tt2329661:-	
40	tt2211418:-	tt2213186:-	tt2225412:-	tt2248478:-	tt2278794:-	tt2310030:-	tt2315682:-	tt2327552:-	tt2331206:-	tt2341274:-	tt2725742:-	tt2725786:-	tt2725792:-	
41	tt2223026:-	tt2281082:-	tt2289448:-	tt2310028:-	tt2310032:-	tt2313632:-	tt2321888:-	tt2325654:-	tt2329830:-	tt2329996:-	tt2332850:-	tt2339234:-	tt2342860:-	
34	tt2254715:-	tt2267279:-	tt2282093:-	tt2293701:-	tt2295575:-	tt2297513:-	tt2298809:-	tt2305595:-	tt2309317:-	tt2314461:-	tt2320501:-	tt2329667:-	tt2833564:-	
42	tt2289450:-	tt2310026:-	tt2317296:-	tt2318846:-	tt2337362:-	tt2342430:-	tt2347284:-	tt2352104:-	tt2361384:-	tt2407248:-	tt2647886:-	tt2778126:-	tt2833828:-	
36	tt2301667:-	tt2335301:-	tt2344573:-	tt2352493:-	tt2352495:-	tt2352497:-	tt2360205:-	tt2363877:-	tt2367263:-	tt2367265:-	tt2370447:-	tt2371771:-	tt2373361:-	
35	tt2307363:-	tt2311641:-	tt2319113:-	tt2321917:-	tt2329663:-	tt2329665:-	tt2331835:-	tt2333569:-	tt2338873:-	tt2342775:-	tt2346203:-	tt2348671:-	tt2357953:-	
43	tt2342424:-	tt2354752:-	tt2356668:-	tt2377848:-	tt2381406:-	tt2385996:-	tt2391884:-	tt2393564:-	tt2395630:-	tt2416680:-	tt2446888:-	tt2833846:-	tt2833858:-	
37	tt2352499:-	tt2379091:-	tt2380601:-	tt2381597:-	tt2385591:-	tt2387981:-	tt2389683:-	tt2390679:-	tt2391461:-	tt2395835:-	tt2397059:-	tt2397841:-	tt2398771:-	
45	tt2395192:-	tt2427670:-	tt2442134:-	tt2451262:-	tt2454714:-	tt2461996:-	tt2464188:-	tt2465962:-	tt2473190:-	tt2493646:-	tt2494996:-	tt2498126:-	tt2711024:-	
44	tt2402892:-	tt2405056:-	tt2409224:-	tt2412398:-	tt2418700:-	tt2432068:-	tt2434256:-	tt2438396:-	tt2457864:-	tt2738592:-	tt2833890:-	tt2833908:-	
46	tt2467824:-	tt2472242:-	tt2473212:-	tt2478544:-	tt2480688:-	tt2485730:-	tt2491766:-	tt2502264:-	tt2504812:-	tt2517916:-	tt2526788:-	tt2532370:-	tt2558362:-	
47	tt2489644:-	tt2506458:-	tt2507806:-	tt2509578:-	tt2529032:-	tt2546664:-	tt2548490:-	tt2558364:-	tt2562452:-	tt2671820:-	tt2675056:-	tt2796080:-	tt2833928:-	
48	tt2513918:-	tt2516072:-	tt2519958:-	tt2522822:-	tt2536890:-	tt2544542:-	tt2552110:-	tt2556428:-	tt2562454:-	tt2610516:-	tt2668004:-	tt2679190:-	tt2833936:-	
49	tt2583758:-	tt2650870:-	tt2653524:-	tt2659790:-	tt2670884:-	tt2679850:-	tt2691272:-	tt2697190:-	tt2701640:-	tt2708862:-	tt2714168:-	tt2716664:-	tt2765436:-	
51	tt2725402:-	tt2738590:-	tt2740426:-	tt2754234:-	tt2755462:-	tt2756976:-	tt2759850:-	tt2762284:-	tt2775910:-	tt2781282:-	tt2847766:-	tt2847786:-	tt2934762:-	
52	tt2851424:-	tt2871420:-	tt2874278:-	tt2889562:-	tt2896632:-	tt2909832:-	tt2911762:-	tt2914584:-	tt2930358:-	tt2940350:-	tt2952194:-	tt2964210:-	tt3054144:-	
53	tt2866204:-	tt2876580:-	tt2892546:-	tt2907706:-	tt2925030:-	tt2953956:-	tt2962100:-	tt2976788:-	tt2982740:-	tt2984192:-	tt3033268:-	tt3147876:-	tt3502114:-	
54	tt2880338:-	tt2919610:-	tt2926486:-	tt2938602:-	tt2947704:-	tt2949716:-	tt2982742:-	tt3016460:-	tt3160048:-	tt3171946:-	tt5725720:-	tt5725722:-	
55	tt2982752:-	tt2982872:-	tt3031450:-	tt3037504:-	tt3037506:-	tt3068028:-	tt3071322:-	tt3084378:-	tt3094624:-	tt3108056:-	tt3255990:-	tt5725724:-	tt5725730:-	
56	tt2982850:-	tt3080894:-	tt3110112:-	tt3121980:-	tt3124566:-	tt3126602:-	tt3147856:-	tt3185342:-	tt3241960:-	tt5725736:-	tt5725746:-	tt5725752:-	
57	tt3134314:-	tt3139564:-	tt3141394:-	tt3144450:-	tt3154028:-	tt3168234:-	tt3170284:-	tt3175772:-	tt3194262:-	tt3211814:-	tt3337348:-	tt5725756:-	tt5725758:-	
58	tt3136930:-	tt3156446:-	tt3164418:-	tt3180810:-	tt3183184:-	tt3187170:-	tt3199108:-	tt3213790:-	tt3215994:-	tt3251420:-	tt3254200:-	tt5725792:-	tt5725802:-	
59	tt3202566:-	tt3206296:-	tt3218954:-	tt3224880:-	tt3230336:-	tt3232990:-	tt3248714:-	tt3265324:-	tt3267362:-	tt3269990:-	tt3273814:-	tt3330254:-	
60	tt3278200:-	tt3284834:-	tt3284836:-	tt3288874:-	tt3294560:-	tt3298912:-	tt3301598:-	tt3304008:-	tt3307098:-	tt3311650:-	tt3321012:-	tt3332682:-	tt5725818:-	
61	tt3282524:-	tt3290760:-	tt3316444:-	tt3318790:-	tt3323050:-	tt3326506:-	tt3335324:-	tt3341298:-	tt3346512:-	tt3349152:-	tt3351604:-	tt3354440:-	tt4152198:-	
64	tt3531414:-	tt3608020:-	tt3608032:-	tt5222916:-	tt5729894:-	tt5729896:-	tt5729948:-	tt5729952:-	tt5729964:-	tt5729972:-	tt5729974:-	tt5729978:-	tt5729982:-	
62	tt3551908:-	tt4389038:-	tt5222852:-	tt5726528:-	tt5726530:-	tt5726536:-	tt5726540:-	tt5726542:-	tt5726544:-	tt5726548:-	tt5726550:-	tt5726554:-	tt5726568:-	
